1,59.67,0.25,10,3.1,905
2,60.53,0.25,10,3.1,915
3,85.73,0.5,16,3.1,916
4,93.67,0.5,22,2.8,917
5,64.05,0.5,10,3,917
6,59.05,0.25,10,3.1,925
7,112.24,0.5,23,4,925
8,73,0.6,13,3,926
9,86.25,0.5,16.5,3,926
10,70,0.6,10,3,9312
